Cronograma entregas semana 28,,,,,,,,,,,,,,,,,,,,
Ruta,Tienda,Dia/Periodo,BQT MDAY M,JARRON MDAY,BQT 18 ROSAS,BQT MIXTO 9T,BQT ROSAS 6T,BQT MIXTO 12T,BQT MIXTO 15T,BQT ROSAS 12T,ROSAS 12 MDAY,BQT GIRASOL 6T,BQT MIXTO 18 T,BQT MDAY PREMIUM,BQT ROSAS 6T BAJA,BQT SNAPDRAGON 8T,BQT ALSTROEMERI 8T,BQT MINI CLAVEL 8T,BQT ROSAS 12T BAJA,BQT LILI ASIATIC 6T
Ruta 2000,SC DIAZ ORDAZ,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,,6,8,,4,,,,,,16,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
ENS,SC ENSENADA,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,8,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,,,,,,,,,,,,,,,
,,Sabado,,,,10,6,8,,4,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
ENS,SC ENSENADA CENTRO,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,8,,,,,,,,16,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,,,,,,,,,,,,,,,
,,Sabado,,,,10,10,8,,,,,,,,16,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
MXL 1,SC GALERIAS DEL VALLE,Lunes,,,,,6,,,4,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,20,6,16,6,4,,,,,,16,,,,
,,Viernes,,,,,,,,,,,,,,,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
Rutas Playas,SC LOMAS DE SANTA FE,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,10,,8,,,,,,,,16,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
Ruta 2000,SC MACROPLAZA INSURGENTES,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,10,,8,,8,,,,,,16,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
MXL 1,SC MEXICALI,Lunes,,,,,,8,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,20,,16,18,8,,,,,,16,,,,
,,Viernes,,,,,,,,,,,,,,,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
MXL 1,SC MEXICALI NOVENA,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,20,10,32,16,16,,,,,,24,,,,
,,Viernes,,,,,,,,,,,,,,,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
MXL 1,SC NUEVO MEXICALI,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,30,10,32,12,16,,,,,,24,,,,
,,Viernes,,,,,,,,,,,,,,,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
Rutas Playas,SC PACIFICO,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,10,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,,,8,,,,,,,,16,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
Rutas Playas,SC PLAYAS DE TIJUANA,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,10,10,8,6,8,,,,,,24,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
MXL 1,SC PLAZA SAN PEDRO,Lunes,,,,,6,,,4,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,10,10,24,12,8,,,,,,24,,,,
,,Viernes,,,,,,,,,,,,,,,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
Rutas Playas,SC ROSARITO,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,20,,8,,8,,,,,,16,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
Ruta 2000,SC TECATE GARITA,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,10,6,8,,4,,,,,,16,,,,
,,Viernes,,,,,,,,,,,,,,,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
Ruta 2000,SC TIJUANA 2000,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,10,6,8,,4,,,,,,24,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
Ruta 2000,SC TIJUANA HIPODROMO,Lunes,,,,,,,,,,,,,,,,,,
,,Martes,,,,,,,,,,,,,,,,,,
,,Miercoles,,,,,,,,,,,,,,,,,,
,,Jueves,,,,,,,,,,,,,,,,,,
,,Viernes,,,,20,6,8,,4,,,,,,24,,,,
,,Sabado,,,,,,,,,,,,,,,,,,
,,Domingo,,,,,,,,,,,,,,,,,,
